FMS,member,region,district,cluster,community,Residency,geopoint_longitude,geopoint_latitude
Southwest,GREDO,Bay,Diinsoor,GREDO_3,Tunida,Rural,42.98007,2.3998
Southwest,GREDO,Bay,Diinsoor,GREDO_3,Buulaxanshe,Rural,42.97579,2.40364
Southwest,GREDO,Bay,Baidoa,GREDO_4,Kulmiye,Rural,43.69334,3.12262
Southwest,GREDO,Bay,Baidoa,GREDO_4,Geldhere,Rural,43.65838,3.1786
Southwest,GREDO,Bay,Baidoa,GREDO_4,Eladow,Rural,43.65296,3.17085
Southwest,GREDO,Bay,Baidoa,GREDO_5,Ashagow,Rural,43.60754,3.08092
Southwest,GREDO,Bay,Baidoa,GREDO_5,Caragaduud,Rural,43.58049,3.11615
Southwest,GREDO,Bay,Baidoa,GREDO_5,Badicade,Rural,43.57129,3.14081
Southwest,GREDO,Bay,Baidoa,GREDO_6,Qurunlow_Reer_Dumal,Rural,43.56153,3.23316
Southwest,GREDO,Bay,Baidoa,GREDO_6,Bullorobow,Rural,43.53566,3.19575
Southwest,GREDO,Bay,Baidoa,GREDO_6,Gofmarere,Rural,43.49075,3.23648
Southwest,GREDO,Bay,Baidoa,GREDO_6,Aroos_Xaawa,Rural,43.48993,3.18963
Southwest,GREDO,Bay,Baidoa,GREDO_6,Qurunlow_Asharaafed,Rural,43.47755,3.20722
Southwest,GREDO,Bay,Baidoa,GREDO_6,Gofgalole,Rural,43.4709,3.22961
Southwest,GREDO,Bay,Baidoa,GREDO_6,Irinta_Yarey,Rural,43.46253,3.18932
Southwest,GREDO,Bay,Baidoa,GREDO_6,Buulo_Xaawa,Rural,43.44041,3.18715
Galmudug,IRC,Galgaduud,Adado,IRC_1,Baxdo,Rural,47.21008,5.79754
Galmudug,IRC,Galgaduud,Adado,IRC_1,Docoley,Rural,46.96919,6.13077
Galmudug,IRC,Galgaduud,Adado,IRC_1,Gilinsor,Rural,46.70894,6.42695
Galmudug,IRC,Galgaduud,Adado,IRC_1,Gidhays,Rural,46.68164,6.01947
Galmudug,IRC,Galgaduud,Adado,IRC_1,CAdado_town,Rural,46.62838,6.13622
Galmudug,IRC,Mudug,Galdogob,IRC_2,Bursaalax,Rural,47.24236,7.17932
Galmudug,IRC,Mudug,Galdogob,IRC_2,Riig_Oomane,Rural,47.22439,7.19221
Galmudug,IRC,Mudug,Galdogob,IRC_2,Darusalaam,Rural,47.19526,7.15973
Galmudug,IRC,Mudug,Galdogob,IRC_2,Xerojaalle,Rural,47.18741,6.98575
Galmudug,IRC,Mudug,Galdogob,IRC_2,Qansaxle,Rural,47.12771,7.10396
Galmudug,IRC,Mudug,Galdogob,IRC_2,Galdogob_town,Rural,47.05164,7.02091
Galmudug,IRC,Mudug,Galkacyo-South,IRC_3,Bitaale,Rural,47.80904,6.73206
Galmudug,IRC,Mudug,Galkacyo-South,IRC_3,Bandarqaali,Rural,47.75507,6.68807
Galmudug,IRC,Mudug,Galkacyo-South,IRC_3,Qarqoora,Rural,47.69672,6.74109
Galmudug,IRC,Mudug,Galkacyo-South,IRC_3,Rasan,Rural,47.63808,6.62259
Galmudug,IRC,Mudug,Galkacyo-South,IRC_3,Qarsoni,Rural,47.60129,6.55917
Galmudug,IRC,Mudug,Galkacyo-South,IRC_3,Xindugan,Rural,47.56193,6.45554
Galmudug,IRC,Mudug,Galkacyo-South,IRC_3,Dawaf,Rural,47.55857,6.51143
Galmudug,IRC,Mudug,Galkacyo-South,IRC_3,Docol,Rural,47.47078,6.38721
Galmudug,IRC,Mudug,Galkacyo-South,IRC_4,Duqaaqo,Rural,47.19377,6.42932
Galmudug,IRC,Mudug,Galkacyo-South,IRC_4,Sadex_Higlo,Rural,47.10219,6.49929
Galmudug,IRC,Mudug,Galkacyo-South,IRC_4,Bandiradley,Rural,46.96656,6.46302
Galmudug,IRC,Mudug,Galkacyo-South,IRC_4,Dhardhar,Rural,46.95158,6.64052
Puntland,KAALO,Mudug,Galkacyo-North,KAALO_1,Malaasle,Rural,47.97278,7.46916
Puntland,KAALO,Mudug,Galkacyo-North,KAALO_1,Jeexdin,Rural,47.52982,6.86903
Puntland,KAALO,Mudug,Galkacyo-North,KAALO_1,Horogle,Rural,47.48508,7.04001
Puntland,KAALO,Mudug,Galkacyo-North,KAALO_1,Gobsho,Rural,47.48054,6.93969
Puntland,KAALO,Mudug,Galkacyo-North,KAALO_1,afariridod,Rural,47.3741,6.99308
Puntland,KAALO,Mudug,Galkacyo-North,KAALO_1,Bayra,Rural,47.33585,6.92826
Puntland,KAALO,Mudug,Galkacyo-North,KAALO_2,Ceelbardaale,Rural,47.87369,7.06646
Puntland,KAALO,Mudug,Galkacyo-North,KAALO_2,Gacmo_fale,Rural,47.7822,7.03993
Puntland,KAALO,Mudug,Jariiban,KAALO_3,Jariban_Town,Urban,48.85166,7.21458
Puntland,KAALO,Mudug,Jariiban,KAALO_3,Seemade,Urban,48.60878,7.15673
Puntland,KAALO,Mudug,Jariiban,KAALO_3,Sallax,Urban,48.57942,7.31414
Puntland,KAALO,Mudug,Jariiban,KAALO_3,Balibusle,Urban,48.54766,7.05453
Puntland,KAALO,Mudug,Jariiban,KAALO_3,Buubi,Urban,48.53942,7.15486
Puntland,KAALO,Mudug,Jariiban,KAALO_4,Ceel_xagar,Urban,49.28024,7.41669
Puntland,KAALO,Mudug,Jariiban,KAALO_4,Lebi_Lamaane,Urban,49.02007,7.51901
Puntland,KAALO,Mudug,Jariiban,KAALO_5,Towfiiq,Urban,48.87489,6.63561
Jubbaland,NRC,Lower_Juba,Afmadow,NRC_1,Dhobley,Rural,41.26183,0.62881
Jubbaland,NRC,Lower_Juba,Afmadow,NRC_1,DegAdey,Rural,41.24955,0.09275
