variable,district,From,Up to ,status
Goat,Dolow-Urban,80,70,Normal
Goat,Dolow-Urban,69,60,Alert
Goat,Dolow-Urban,59,50,Alarm
Water,Dolow-Urban,0.12,0.13,Normal
Water,Dolow-Urban,0.14,0.15,Alert
Water,Dolow-Urban,0.16,0.2,Alarm
Fuel,Dolow-Urban,0.63,0.77,Normal
Fuel,Dolow-Urban,0.78,0.93,Alert
Fuel,Dolow-Urban,0.94,1,Alarm
Labour,Dolow-Urban,7.99,7,Normal
Labour,Dolow-Urban,6.99,5,Alert
Labour,Dolow-Urban,4.99,4,Alarm
Sorghum,Kahda-Urban,0.62,0.68,Normal
Sorghum,Kahda-Urban,0.69,0.78,Alert
Sorghum,Kahda-Urban,0.77,1,Alarm
Maize,Kahda-Urban,0.62,0.68,Normal
Maize,Kahda-Urban,0.69,0.78,Alert
Maize,Kahda-Urban,0.77,1,Alarm
Rice,Kahda-Urban,0.65,0.75,Normal
Rice,Kahda-Urban,0.76,0.85,Alert
Rice,Kahda-Urban,0.86,1,Alarm
Goat,Kahda-Urban,90,75,Normal
Goat,Kahda-Urban,74,60,Alert
Goat,Kahda-Urban,59,40,Alarm
Water,Kahda-Urban,0.5,0.79,Normal
Water,Kahda-Urban,0.8,1.04,Alert
Water,Kahda-Urban,1.05,1.1,Alarm
Fuel,Kahda-Urban,0.77,0.95,Normal
Fuel,Kahda-Urban,0.96,1.14,Alert
Fuel,Kahda-Urban,1.15,1.5,Alarm
Labour,Kahda-Urban,10.99,10,Normal
Labour,Kahda-Urban,9.99,9,Alert
Labour,Kahda-Urban,8.99,8,Alarm
