variable,district,From,Up to ,status
Sorghum,Baidoa-Urban,0.16,0.22,Normal
Sorghum,Baidoa-Urban,0.23,0.4,Alert
Sorghum,Baidoa-Urban,0.41,0.57,Alarm
Water,Baidoa-Urban,0.08,0.13,Normal
Water,Baidoa-Urban,0.14,0.18,Alert
Water,Baidoa-Urban,0.19,0.25,Alarm
Fuel,Baidoa-Urban,0.9,1,Normal
Fuel,Baidoa-Urban,1.11,1.6,Alert
Fuel,Baidoa-Urban,1.61,2,Alarm
Goat,Baidoa-Urban,83,77,Normal
Goat,Baidoa-Urban,76,64,Alert
Goat,Baidoa-Urban,63,45,Alarm
Labour,Baidoa-Urban,12,8,Normal
Labour,Baidoa-Urban,7.99,6,Alert
Labour,Baidoa-Urban,5.99,4,Alarm
Maize,Baidoa-Urban,0.27,0.37,Normal
Maize,Baidoa-Urban,0.38,0.65,Alert
Maize,Baidoa-Urban,0.66,0.83,Alarm
Rice,Baidoa-Urban,0.8,1,Normal
Rice,Baidoa-Urban,1.01,1.26,Alert
Rice,Baidoa-Urban,1.27,1.44,Alarm
Sorghum,Belet_Hawa-Rural,1.2,1.5,Normal
Sorghum,Belet_Hawa-Rural,1.51,2.3,Alert
Sorghum,Belet_Hawa-Rural,2.31,3.3,Alarm
Water,Belet_Hawa-Rural,0.4,0.5,Normal
Water,Belet_Hawa-Rural,0.51,0.85,Alert
Water,Belet_Hawa-Rural,0.89,1.3,Alarm
Fuel,Belet_Hawa-Rural,0.8,1,Normal
Fuel,Belet_Hawa-Rural,1.01,1.5,Alert
Fuel,Belet_Hawa-Rural,1.51,2.5,Alarm
Goat,Belet_Hawa-Rural,80,70,Normal
Goat,Belet_Hawa-Rural,69,60,Alert
Goat,Belet_Hawa-Rural,59,45,Alarm
Labour,Belet_Hawa-Rural,6,5,Normal
Labour,Belet_Hawa-Rural,4.99,3,Alert
Labour,Belet_Hawa-Rural,2.99,2,Alarm
Maize,Belet_Hawa-Rural,1.2,1.5,Normal
Maize,Belet_Hawa-Rural,1.51,2.3,Alert
Maize,Belet_Hawa-Rural,2.31,3,Alarm
Rice,Belet_Hawa-Rural,0.8,0.85,Normal
Rice,Belet_Hawa-Rural,0.86,1.2,Alert
Rice,Belet_Hawa-Rural,1.21,2,Alarm
Fuel,Belet_weyne-Rural,1,1.1,Normal
Fuel,Belet_weyne-Rural,1.11,1.25,Alert
Fuel,Belet_weyne-Rural,1.26,1.4,Alarm
Goat,Belet_weyne-Rural,80,60,Normal
Goat,Belet_weyne-Rural,59,50,Alert
Goat,Belet_weyne-Rural,49,40,Alarm
Labour,Belet_weyne-Rural,8.5,7.5,Normal
Labour,Belet_weyne-Rural,7.49,6.5,Alert
Labour,Belet_weyne-Rural,6.49,5,Alarm
Maize,Belet_weyne-Rural,0.5,0.6,Normal
Maize,Belet_weyne-Rural,0.61,0.8,Alert
Maize,Belet_weyne-Rural,0.81,0.9,Alarm
Rice,Belet_weyne-Rural,0.75,0.8,Normal
Rice,Belet_weyne-Rural,0.81,1,Alert
Rice,Belet_weyne-Rural,1.01,1.2,Alarm
Sorghum,Belet_weyne-Rural,0.5,0.6,Normal
Sorghum,Belet_weyne-Rural,0.61,0.8,Alert
Sorghum,Belet_weyne-Rural,0.81,0.95,Alarm
Water,Belet_weyne-Rural,0.1,0.2,Normal
Water,Belet_weyne-Rural,0.21,0.3,Alert
Water,Belet_weyne-Rural,0.31,0.6,Alarm
Sorghum,Dhusamareeb-Rural,0.9,0.92,Normal
Sorghum,Dhusamareeb-Rural,0.93,0.95,Alert
Sorghum,Dhusamareeb-Rural,0.96,1,Alarm
Water,Dhusamareeb-Rural,0.01,0.02,Normal
Water,Dhusamareeb-Rural,0.03,0.04,Alert
Water,Dhusamareeb-Rural,0.05,0.06,Alarm
Fuel,Dhusamareeb-Rural,0.9,1,Normal
Fuel,Dhusamareeb-Rural,1.01,1.09,Alert
Fuel,Dhusamareeb-Rural,1.1,1.2,Alarm
Goat,Dhusamareeb-Rural,65,60,Normal
Goat,Dhusamareeb-Rural,59,55,Alert
Goat,Dhusamareeb-Rural,54,40,Alarm
Labour,Dhusamareeb-Rural,10,6,Normal
Labour,Dhusamareeb-Rural,5.99,4.5,Alert
Labour,Dhusamareeb-Rural,4.49,3,Alarm
Maize,Dhusamareeb-Rural,0.5,0.52,Normal
Maize,Dhusamareeb-Rural,0.53,0.6,Alert
Maize,Dhusamareeb-Rural,0.61,0.8,Alarm
Rice,Dhusamareeb-Rural,0.76,0.9,Normal
Rice,Dhusamareeb-Rural,0.91,1.2,Alert
Rice,Dhusamareeb-Rural,1.21,1.3,Alarm
Sorghum,Diinsoor-Rural,0.23,0.4,Normal
Sorghum,Diinsoor-Rural,0.41,0.65,Alert
Sorghum,Diinsoor-Rural,0.66,1,Alarm
Water,Diinsoor-Rural,0.11,0.15,Normal
Water,Diinsoor-Rural,0.16,0.23,Alert
Water,Diinsoor-Rural,0.24,0.34,Alarm
Fuel,Diinsoor-Rural,1.5,1.7,Normal
Fuel,Diinsoor-Rural,1.71,2.2,Alert
Fuel,Diinsoor-Rural,2.21,2.8,Alarm
Goat,Diinsoor-Rural,70,55,Normal
Goat,Diinsoor-Rural,54,40,Alert
Goat,Diinsoor-Rural,39,25,Alarm
Labour,Diinsoor-Rural,5,3.5,Normal
Labour,Diinsoor-Rural,3.49,3,Alert
Labour,Diinsoor-Rural,2.99,2,Alarm
Maize,Diinsoor-Rural,0.23,0.42,Normal
Maize,Diinsoor-Rural,0.43,0.63,Alert
Maize,Diinsoor-Rural,0.64,1.3,Alarm
Rice,Diinsoor-Rural,0.9,1,Normal
Rice,Diinsoor-Rural,1.01,1.3,Alert
Rice,Diinsoor-Rural,1.31,1.52,Alarm
Fuel,El-berde-Rural,0.9,1.3,Normal
Fuel,El-berde-Rural,1.31,1.59,Alert
Fuel,El-berde-Rural,1.6,2,Alarm
Goat,El-berde-Rural,70,50,Normal
Goat,El-berde-Rural,49,30,Alert
Goat,El-berde-Rural,29,20,Alarm
Labour,El-berde-Rural,7,6,Normal
Labour,El-berde-Rural,5.99,4,Alert
Labour,El-berde-Rural,3.99,2.5,Alarm
Maize,El-berde-Rural,0.7,1.05,Normal
Maize,El-berde-Rural,1.06,1.69,Alert
Maize,El-berde-Rural,1.7,2,Alarm
Rice,El-berde-Rural,0.65,0.94,Normal
Rice,El-berde-Rural,0.95,1.09,Alert
Rice,El-berde-Rural,1.1,1.5,Alarm
Sorghum,El-berde-Rural,0.8,1.1,Normal
Sorghum,El-berde-Rural,1.11,1.7,Alert
Sorghum,El-berde-Rural,1.71,2,Alarm
Water,El-berde-Rural,0.15,0.2,Normal
Water,El-berde-Rural,0.21,0.23,Alert
Water,El-berde-Rural,0.24,0.25,Alarm
Sorghum,Galdogob-Rural,0.9,1,Normal
Sorghum,Galdogob-Rural,1.01,1.4,Alert
Sorghum,Galdogob-Rural,1.41,1.6,Alarm
Water,Galdogob-Rural,0.5,0.6,Normal
Water,Galdogob-Rural,0.61,0.9,Alert
Water,Galdogob-Rural,0.91,2,Alarm
Fuel,Galdogob-Rural,0.8,0.9,Normal
Fuel,Galdogob-Rural,0.91,1,Alert
Fuel,Galdogob-Rural,1.01,1.6,Alarm
Goat,Galdogob-Rural,70,56,Normal
Goat,Galdogob-Rural,55,46,Alert
Goat,Galdogob-Rural,45,30,Alarm
Labour,Galdogob-Rural,9,7,Normal
