"Community","Level","variable","From","Up to"
"Elbarde","Normal","Labour prices",3.64,3.19
"Elbarde","Alert","Labour prices",3.18,2.51
"Elbarde","Alarm","Labour prices",2.5,0
"Erigavo","Normal","Labour prices",47.06,43.54
"Erigavo","Alert","Labour prices",43.53,41.19
"Erigavo","Alarm","Labour prices",41.18,0
"Galdogob","Normal","Labour prices",5.41,4.87
"Galdogob","Alert","Labour prices",4.86,4.06
"Galdogob","Alarm","Labour prices",4.05,0
"Galkaayo IRC","Normal","Labour prices",9.74,9.48
"Galkaayo IRC","Alert","Labour prices",9.47,8.96
"Galkaayo IRC","Alarm","Labour prices",8.95,0
"Hamarwen","Normal","Labour prices",6.12,5.72
"Hamarwen","Alert","Labour prices",5.71,5.11
"Hamarwen","Alarm","Labour prices",5.1,0
"Hobyo","Normal","Labour prices",2.88,2.63
"Hobyo","Alert","Labour prices",2.62,2.26
"Hobyo","Alarm","Labour prices",2.25,0
"Hodan","Normal","Labour prices",9.6,8.81
"Hodan","Alert","Labour prices",8.8,7.21
"Hodan","Alarm","Labour prices",7.2,0
"Holwadag","Normal","Labour prices",12,10.01
"Holwadag","Alert","Labour prices",10,9.01
"Holwadag","Alarm","Labour prices",9,0
"Hudur","Normal","Labour prices",12,10.01
"Hudur","Alert","Labour prices",10,9.01
"Hudur","Alarm","Labour prices",9,0
"Iskushuban","Normal","Labour prices",1,0.76
"Iskushuban","Alert","Labour prices",0.75,0.63
"Iskushuban","Alarm","Labour prices",0.62,0
"Kahda","Normal","Labour prices",6.4,6.01
"Kahda","Alert","Labour prices",6,4.81
"Kahda","Alarm","Labour prices",4.8,0
"Karaan","Normal","Labour prices",10,9.21
"Karaan","Alert","Labour prices",9.2,8.61
"Karaan","Alarm","Labour prices",8.6,0
"Kismayo","Normal","Labour prices",10.77,9.63
"Kismayo","Alert","Labour prices",9.62,8.47
"Kismayo","Alarm","Labour prices",8.46,0
"Lascanod","Normal","Labour prices",6.39,5.57
"Lascanod","Alert","Labour prices",5.56,5.02
"Lascanod","Alarm","Labour prices",5.01,0
"Luuq","Normal","Labour prices",8.8,7.61
"Luuq","Alert","Labour prices",7.6,6.41
"Luuq","Alarm","Labour prices",6.4,0
"Mataban","Normal","Labour prices",9.2,7.61
"Mataban","Alert","Labour prices",7.6,7.61
"Mataban","Alarm","Labour prices",7.6,0
"Qardho","Normal","Labour prices",1.25,1.01
"Qardho","Alert","Labour prices",1,0.76
"Qardho","Alarm","Labour prices",0.75,0
"Wadajir","Normal","Labour prices",8,7.21
"Wadajir","Alert","Labour prices",7.2,6.61
"Wadajir","Alarm","Labour prices",6.6,0
"Wajid","Normal","Labour prices",10.4,9.61
"Wajid","Alert","Labour prices",9.6,7.61
"Wajid","Alarm","Labour prices",7.6,0
"Wanlaweyn","Normal","Labour prices",6.8,6.41
"Wanlaweyn","Alert","Labour prices",6.4,5.61
"Wanlaweyn","Alarm","Labour prices",5.6,0
"Yaqshid","Normal","Labour prices",8,7.21
"Yaqshid","Alert","Labour prices",7.2,6.01
"Yaqshid","Alarm","Labour prices",6,0
